15:02:39.617 [main] INFO  com.dc.dms.Application - Starting Application on LIN51002900 with PID 16864 (C:\Users\sacjoshi\dms\dms\dms-web\target\classes started by sacjoshi in C:\Users\sacjoshi\dms\dms\dms-web)
15:02:39.628 [main] DEBUG com.dc.dms.Application - Running with Spring Boot v1.4.2.RELEASE, Spring v4.3.4.RELEASE
15:02:39.629 [main] INFO  com.dc.dms.Application - No active profile set, falling back to default profiles: default
15:03:07.024 [main] INFO  com.dc.dms.Application - Started Application in 29.532 seconds (JVM running for 49.74)
15:03:07.025 [main] INFO  com.dc.dms.Application - DMSServiceConfig
15:03:07.025 [main] INFO  com.dc.dms.Application - actuatorMetricReader
15:03:07.026 [main] INFO  com.dc.dms.Application - application
15:03:07.026 [main] INFO  com.dc.dms.Application - applicationConfig
15:03:07.026 [main] INFO  com.dc.dms.Application - applicationContextIdFilter
15:03:07.026 [main] INFO  com.dc.dms.Application - auditEventRepository
15:03:07.027 [main] INFO  com.dc.dms.Application - auditListener
15:03:07.027 [main] INFO  com.dc.dms.Application - autoConfigurationReportEndpoint
15:03:07.027 [main] INFO  com.dc.dms.Application - beansEndpoint
15:03:07.027 [main] INFO  com.dc.dms.Application - characterEncodingFilter
15:03:07.027 [main] INFO  com.dc.dms.Application - confService
15:03:07.027 [main] INFO  com.dc.dms.Application - configurationPropertiesReportEndpoint
15:03:07.029 [main] INFO  com.dc.dms.Application - counterBuffers
15:03:07.031 [main] INFO  com.dc.dms.Application - counterService
15:03:07.033 [main] INFO  com.dc.dms.Application - dataSource
15:03:07.033 [main] INFO  com.dc.dms.Application - databaseJpaConfig
15:03:07.034 [main] INFO  com.dc.dms.Application - dbHealthIndicator
15:03:07.034 [main] INFO  com.dc.dms.Application - diskSpaceHealthIndicator
15:03:07.034 [main] INFO  com.dc.dms.Application - diskSpaceHealthIndicatorProperties
15:03:07.034 [main] INFO  com.dc.dms.Application - dispatcherServlet
15:03:07.035 [main] INFO  com.dc.dms.Application - dispatcherServletRegistration
15:03:07.036 [main] INFO  com.dc.dms.Application - docDetailsService
15:03:07.037 [main] INFO  com.dc.dms.Application - dumpEndpoint
15:03:07.037 [main] INFO  com.dc.dms.Application - duplicateServerPropertiesDetector
15:03:07.037 [main] INFO  com.dc.dms.Application - embeddedServletContainerCustomizerBeanPostProcessor
15:03:07.038 [main] INFO  com.dc.dms.Application - endpointHandlerMapping
15:03:07.041 [main] INFO  com.dc.dms.Application - endpointMBeanExporter
15:03:07.041 [main] INFO  com.dc.dms.Application - endpoints-org.springframework.boot.actuate.endpoint.EndpointProperties
15:03:07.041 [main] INFO  com.dc.dms.Application - endpoints.cors-org.springframework.boot.actuate.autoconfigure.EndpointCorsProperties
15:03:07.041 [main] INFO  com.dc.dms.Application - endpoints.health-org.springframework.boot.actuate.autoconfigure.HealthMvcEndpointProperties
15:03:07.042 [main] INFO  com.dc.dms.Application - endpoints.jmx-org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportProperties
15:03:07.042 [main] INFO  com.dc.dms.Application - endpoints.metrics.filter-org.springframework.boot.actuate.autoconfigure.MetricFilterProperties
15:03:07.042 [main] INFO  com.dc.dms.Application - entityManagerFactory
